Complexity,Loss,Equation
1,0.0002741987,"0.98340195"
3,0.00017800485,"(0.9684358 ^ x0)"
5,9.821837e-5,"((0.98791087 ^ x0) ^ x2)"
7,5.8131624e-5,"(((x1 ^ x0) ^ 0.0023711296) ^ x2)"
8,2.9564584e-5,"((0.985483 ^ (x0 / exp(x1))) ^ x2)"
9,1.1040638e-5,"(((0.9842679 ^ (0.05151074 ^ x1)) ^ x0) ^ x2)"
10,9.407008e-6,"((0.9836824 ^ (x0 / exp(x1 * x2))) ^ x2)"
11,7.2425155e-6,"(((0.985199 ^ x0) ^ (0.043009814 ^ x1)) ^ (x2 - -0.32338986))"
12,6.7490073e-6,"((0.985483 ^ (x0 / (exp(x2) ^ x1))) ^ (x2 - -0.3632076))"
13,3.1016414e-6,"((((0.985199 ^ x0) ^ (0.043009814 ^ x1)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
15,1.2658563e-6,"((((0.985199 ^ (0.10059229 ^ (x1 / x0))) ^ x0) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
17,1.1617446e-6,"((((0.985199 ^ (0.10059229 ^ (x1 / x0))) ^ (x0 ^ 0.97106683)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
19,1.0445343e-6,"((((0.985199 ^ (0.10059229 ^ ((x1 / x0) / 0.92188036))) ^ (x0 ^ 0.94803876)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
20,1.043791e-6,"((((0.985199 ^ (0.10059229 ^ ((x1 / x0) / exp(-0.08411174)))) ^ (x0 ^ 0.94803876)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
21,1.0197577e-6,"((((0.985199 ^ (0.10059229 ^ ((x1 / x0) / 0.92188036))) ^ ((x0 ^ 0.94803876) / 1.013355)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
24,1.0083018e-6,"((((0.985199 ^ (0.10059229 ^ (((x1 / x0) - (-0.00058390014 * exp(1.5677443))) / 0.92188036))) ^ (x0 ^ 0.94803876)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
25,9.602438e-7,"((((0.985199 ^ ((0.10059229 ^ ((x1 / (x0 / 1.264013)) / (0.9276082 ^ x2))) ^ 0.62044317)) ^ (x0 ^ 0.94803876)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
26,8.8479595e-7,"((((0.985199 ^ ((0.6970921 ^ 0.6007308) ^ ((x1 / (x0 * log(1.1201179))) / (0.9276082 ^ x2)))) ^ (x0 ^ 0.94803876)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
28,8.7850464e-7,"((((0.985199 ^ (((0.6970921 ^ 0.6007308) ^ ((x1 / (x0 * log(1.1201179))) / (0.9276082 ^ x2))) + -0.0020738144)) ^ (x0 ^ 0.94803876)) ^ (x2 ^ 0.68786407)) ^ 1.5988814)"
