Complexity,Loss,Equation
1,0.0003906019,"0.9789979"
3,0.0002533231,"(0.24807686 ^ x0)"
5,0.00013031566,"(0.5891503 ^ (x0 * x2))"
7,3.4255365e-5,"(((0.49411887 ^ x2) + x1) ^ x0)"
8,2.1854792e-5,"(0.5059078 ^ ((x0 * x2) ^ exp(x1)))"
9,1.48853505e-5,"((((0.5803572 ^ x2) + x1) * 0.6396838) ^ x0)"
10,1.3081024e-5,"(0.58150136 ^ ((x0 * (x2 + 0.8213138)) ^ exp(x1)))"
11,7.285908e-6,"(((x2 + 0.9120071) ^ (0.091426976 ^ x1)) ^ (x0 * -1.6200912))"
12,7.28344e-6,"(((x2 + 0.91323316) ^ (log(1.0950854) ^ x1)) ^ (x0 * -1.6164441))"
13,5.72627e-6,"(((x2 + 0.9147855) ^ ((x0 / x4) ^ x1)) ^ (x0 * -1.6200912))"
15,4.530738e-6,"(((x2 + 0.913745) ^ ((x0 / 0.112577416) ^ (x1 / x5))) ^ (x0 * -1.6164441))"
17,3.970901e-6,"(((x2 + 0.9158969) ^ ((x0 / 0.07963249) ^ ((x1 / x5) / x5))) ^ (x0 * -1.6200912))"
18,3.6722786e-6,"(((x2 + 0.913745) ^ ((x0 / (0.24807686 ^ exp(x5))) ^ (x1 / 0.410876))) ^ (x0 * -1.6200912))"
19,3.2296903e-6,"(((x2 + 0.9147855) ^ ((x0 / 0.11070253) ^ (((x1 + x4) + -0.24321607) / x5))) ^ (x0 * -1.6786953))"
21,2.5578402e-6,"(((x2 + 0.91323316) ^ ((x0 / 0.06270104) ^ (((x1 + x4) + -0.25433794) / (x5 ^ 2.2321696)))) ^ (x0 * -1.6200912))"
22,2.412914e-6,"(((x2 + 0.8931508) ^ ((x0 / 0.06270104) ^ (((x1 + x4) + -0.25433794) / (x5 ^ exp(0.8931508))))) ^ (x0 * -1.6786953))"
23,2.3082205e-6,"(((x2 + 0.91323316) ^ ((x0 / 0.06270104) ^ (((x1 + x4) + -0.25433794) / (x5 ^ 2.2321696)))) ^ (x0 * (-1.6786953 + x0)))"
24,2.2415754e-6,"(((x2 + 0.91323316) ^ ((x0 / 0.06270104) ^ (((x1 + x4) + -0.25433794) / (x5 ^ exp(0.8387169))))) ^ (x0 * (-1.6786953 + x0)))"
25,2.2292977e-6,"(((x2 + 0.91323316) ^ ((x0 / 0.06270104) ^ (((x1 + x4) + -0.25433794) / (x5 ^ (2.2321696 ^ 1.0670663))))) ^ (x0 * (-1.6786953 + x0)))"
26,2.1964365e-6,"(((x2 + 0.91323316) ^ ((x0 / 0.06270104) ^ (((x1 + x4) + -0.25433794) / (x5 ^ (1.0642323 - log(x4)))))) ^ (x0 * (-1.6786953 + x0)))"
27,2.188746e-6,"(((x2 + 0.91323316) ^ ((x0 / 0.06270104) ^ (((x1 + x4) + -0.25433794) / (x5 ^ exp(0.91323316 ^ exp(x1)))))) ^ (x0 * (-1.6786953 + x0)))"
28,2.097928e-6,"(((x2 + 0.9199725) ^ ((x0 / 0.06270104) ^ (((((x1 / (1.2542796 * x5)) + x4) + -0.2677986) + x0) / (x5 ^ exp(x5))))) ^ (x0 * -1.6786953))"
30,2.0698794e-6,"((((x2 / 1.0142359) + 0.9199725) ^ ((x0 / 0.06270104) ^ (((((x1 / (1.2542796 * x5)) + x4) + -0.2677986) + x0) / (x5 ^ exp(x5))))) ^ (x0 * -1.6786953))"
