Complexity,Loss,Equation
1,0.00040861007,"0.97902507"
3,0.0002622772,"(0.24553679 ^ x0)"
4,0.00026227717,"(exp(-1.4042269) ^ x0)"
5,0.0001372676,"((0.5869268 ^ x0) ^ x2)"
7,4.0543327e-5,"(((0.4911315 ^ x2) + x1) ^ x0)"
8,2.7684318e-5,"(0.50129807 ^ ((x0 * x2) ^ exp(x1)))"
9,2.1224758e-5,"((((0.58664846 ^ x2) + x1) * 0.6212992) ^ x0)"
10,9.987199e-6,"(x4 ^ ((x0 * (x2 ^ 0.6452743)) ^ exp(x1)))"
11,7.3325336e-6,"(((x4 ^ (x2 ^ 0.6275656)) ^ x0) ^ (0.08552692 ^ x1))"
12,6.5265253e-6,"((x4 ^ (x2 ^ 0.6275656)) ^ (x0 ^ exp(x1 * 0.5719562)))"
13,5.428711e-6,"(((x4 ^ (x2 ^ 0.6275656)) ^ x0) ^ ((x0 / 0.23325892) ^ x1))"
14,5.3760314e-6,"(x4 ^ ((x0 * (x2 ^ 0.65261847)) ^ exp((x1 * 0.4462156) ^ x5)))"
15,3.8984576e-6,"(((x4 ^ (x2 ^ 0.6275656)) ^ x0) ^ ((x0 / 0.11867172) ^ (x1 / x5)))"
17,3.2576256e-6,"(((x4 ^ (x2 ^ 0.6275656)) ^ x0) ^ ((x0 / (x3 ^ x5)) ^ (x1 / x5)))"
19,2.8241052e-6,"(((x4 ^ (x2 ^ 0.6275656)) ^ x0) ^ ((x0 / 0.12418236) ^ (((x0 ^ x2) + x1) / x5)))"
21,2.1745163e-6,"(((x4 ^ (x2 ^ 0.6275656)) ^ x0) ^ ((x0 / (x3 ^ x5)) ^ (((x0 ^ x2) + x1) / x5)))"
23,1.9411411e-6,"(((x4 ^ (x2 ^ 0.6316587)) ^ x0) ^ ((x0 / 0.08754372) ^ (((x0 ^ x2) + x1) / (exp(x5) - exp(0.34730807)))))"
25,1.7919054e-6,"(((x4 ^ (x2 ^ 0.6316587)) ^ x0) ^ ((x0 / 0.08754372) ^ (((x0 ^ x2) + x1) / ((exp(x5) - exp(0.34730807)) ^ 1.1481072))))"
