Complexity,Loss,Equation
1,0.00027419868,"0.9833965"
2,0.00027419862,"log(2.6735153)"
3,0.00017800489,"(0.9684259 ^ x0)"
4,0.00017800485,"(log(2.6338165) ^ x0)"
5,9.821837e-5,"(0.9879138 ^ (x0 * x2))"
7,5.7760808e-5,"((0.98637646 ^ (x2 - x1)) ^ x0)"
8,2.026204e-5,"((0.98541886 ^ (x2 / exp(x1))) ^ x0)"
9,1.0909378e-5,"(((0.9839149 ^ x0) ^ (0.10538422 ^ x1)) ^ x2)"
10,1.0909077e-5,"((0.9839149 ^ ((exp(-2.252121) ^ x1) * x0)) ^ x2)"
11,6.809376e-6,"(((0.9875683 ^ x0) ^ (0.10538422 ^ x1)) ^ (x2 - -0.8908403))"
13,4.920158e-6,"(((0.9875683 ^ (0.1957214 ^ (x1 / x0))) ^ x0) ^ (0.8891514 + x2))"
15,3.4308048e-6,"(((0.9875683 ^ (0.18510418 ^ (x1 / x0))) ^ x0) ^ ((x2 ^ 0.10538422) + x2))"
17,1.7387482e-6,"(((0.9875683 ^ (0.17013258 ^ (x1 / x0))) ^ x0) ^ ((x2 ^ (0.55034983 ^ x2)) + x2))"
18,1.5170759e-6,"(((0.9875683 ^ (0.1957214 ^ (x1 / x0))) ^ x0) ^ ((x2 ^ exp(0.40778872 - x2)) + x2))"
19,1.289377e-6,"(((0.9875683 ^ (0.18510418 ^ (x1 / x0))) ^ x0) ^ ((x2 ^ ((0.55034983 ^ x2) + -0.10658694)) + x2))"
