Complexity,Loss,Equation
1,0.0002578854,"0.9835022"
3,0.00017731512,"(0.96857995 ^ x0)"
5,0.00010050645,"(0.98795706 ^ (x0 * x2))"
7,5.6113953e-5,"((x1 ^ (0.002400322 * x0)) ^ x2)"
8,3.3394663e-5,"((0.98560303 ^ x2) ^ (x0 / exp(x1)))"
9,1.31573615e-5,"(((0.98400766 ^ x0) ^ x2) ^ (0.028577762 ^ x1))"
10,1.161256e-5,"((0.98392963 ^ x2) ^ (x0 / (exp(x2) ^ x1)))"
11,8.945957e-6,"((0.9862847 ^ ((x2 - -0.56035084) * (0.03707062 ^ x1))) ^ x0)"
13,5.3527096e-6,"((0.9818964 ^ (((x2 / x5) ^ 0.70089996) * (0.0225415 ^ x1))) ^ x0)"
15,3.4679804e-6,"((0.9818964 ^ (((x2 / x5) ^ 0.70089996) * (0.06425712 ^ (x1 / x0)))) ^ x0)"
17,2.753384e-6,"(0.9818964 ^ ((((x2 / 0.46613175) ^ 0.7319366) * x0) * (0.06446891 ^ ((x1 / x0) + x4))))"
19,1.8464232e-6,"(0.9818964 ^ ((((x2 / 0.47109157) ^ 0.7319366) * x0) * ((0.020362534 ^ x5) ^ ((x1 / x0) + x4))))"
21,1.6190653e-6,"(0.9818964 ^ ((((x2 / 0.4618551) ^ 0.70079356) * (x0 + 0.02837361)) * ((x3 ^ x5) ^ ((x1 / x0) + x4))))"
23,1.530119e-6,"((0.9818964 ^ (((x2 / 0.4618551) ^ 0.70079356) * ((((x3 ^ x5) ^ ((x1 / x0) + x4)) - x4) + 0.15336758))) ^ x0)"
25,1.3489138e-6,"((0.9818964 ^ (((x2 * 2.0363) ^ 0.70079356) * ((((x3 ^ x5) ^ ((x1 / x0) + x4)) - x4) + 0.15336758))) ^ (x0 + 0.021958083))"
27,1.2779834e-6,"((0.9818964 ^ (((x2 * 2.0656345) ^ 0.70079356) * ((((0.021958083 ^ x5) ^ ((x1 / (x0 - x3)) + x4)) - x4) + 0.15336758))) ^ (x0 + x3))"
28,1.2472451e-6,"((0.9818964 ^ (((x2 * 2.0656345) ^ 0.70079356) * (((((0.021958083 / exp(x4)) ^ x5) ^ ((x1 / x0) + x4)) - x4) + 0.15336758))) ^ (x0 + x3))"
29,1.2420163e-6,"((0.9818964 ^ (((x2 * 2.0656345) ^ 0.70079356) * ((((0.021958083 ^ x5) ^ ((x1 / (x0 - x3)) + x4)) - x4) + (0.15336758 * 0.9818964)))) ^ (x0 + x3))"
30,1.2268026e-6,"((0.9818964 ^ (((x2 * 2.0656345) ^ 0.70079356) * (((((0.021958083 / exp(x4)) ^ x5) ^ ((x1 / (x0 - x3)) + x4)) - x4) + 0.15336758))) ^ (x0 + x3))"
