Complexity,Loss,Equation
1,0.00026971806,"0.98363507"
3,0.00017618544,"(0.9688899 ^ x0)"
5,9.769653e-5,"((0.98807317 ^ x0) ^ x2)"
7,5.7869882e-5,"((0.9867149 ^ x0) ^ (x2 - x1))"
8,2.06641e-5,"((0.9851409 ^ (x2 / exp(x1))) ^ x0)"
9,1.1266608e-5,"((0.9841462 ^ ((0.09870527 ^ x1) * x2)) ^ x0)"
11,6.8580644e-6,"((0.9867149 ^ ((0.100483045 ^ x1) * (0.62805605 + x2))) ^ x0)"
13,3.692806e-6,"(0.9837498 ^ (((0.09870527 ^ x1) / x3) * ((x2 ^ x3) * x0)))"
14,3.6748422e-6,"(exp(-0.01621017) ^ (((0.09870527 ^ x1) / x3) * ((x2 ^ x3) * x0)))"
15,1.8197536e-6,"(0.9837498 ^ (((0.1762078 ^ (x1 / x0)) / x3) * ((x2 ^ x3) * x0)))"
17,1.5916453e-6,"(0.9837498 ^ ((((0.09392047 ^ (x1 / x0)) ^ x3) / x3) * ((x2 ^ x3) * x0)))"
19,1.5530044e-6,"(0.98363507 ^ (((((0.09392047 ^ (x1 / x0)) ^ x3) * 0.9841462) / x3) * ((x2 ^ x3) * x0)))"
21,1.336614e-6,"(((0.9867149 + (0.61836666 * x2)) ^ x0) ^ ((0.21340127 ^ ((x3 ^ x3) + (x1 / x0))) / (-1.2929734 / 0.20730563)))"
23,1.1163914e-6,"(((0.9867149 + (0.61836666 * x2)) ^ x0) ^ ((0.21340127 ^ (((x3 ^ x3) + -0.019509103) + (x1 / x0))) / (-1.2929734 / 0.20730563)))"
24,1.094212e-6,"(((0.9867149 + (0.61836666 * x2)) ^ x0) ^ ((0.21340127 ^ ((x3 ^ x3) + (x1 / x0))) / ((-1.2929734 / 0.20730563) + log(1.1776899))))"
25,9.1417604e-7,"(((0.9867149 + (0.61836666 * x2)) ^ (x0 ^ 0.9224356)) ^ ((0.20730563 ^ (((x3 ^ x3) + -0.019509103) + (x1 / x0))) / (-1.2929734 / 0.20730563)))"
